25 DE MAYO,['6660']
AGUSTIN MOSCONI,['6667']
ARAUJO,['6643']
BLAS DURAÑONA,['6661']
COLONIA INCHAUSTI,['6667']
DEL VALLE,['6509']
DESVIO GARBARINI,['6509']
ERNESTINA,['6665']
ESCUELA AGRICOLA SALESIANA,"['6003', '6509']"
GOBERNADOR UGARTE,['6621']
HUETEL,['6511']
ISLAS,['6667']
JUAN VELA,['6663']
LA GLORIA,['6665']
LA RABIA,['6667']
LA TRIBU,"['6015', '6660']"
LAGUNA LAS MULITAS,['6660']
LUCAS MONTEVERDE,['6661']
MAMAGUITA,['6661']
MARTIN BERRAONDO,['6667']
NORBERTO DE LA RIESTRA,['6663']
ORTIZ DE ROSAS,['6660']
PEDERNALES,['6665']
PUEBLITOS,['6661']
SAN ENRIQUE,"['6661', '7116']"
SAN JOSE,"['1844', '6643', '6665', '7203', '7635', '8136']"
SANTIAGO GARBARINI,['6660']
VALDEZ,['6717']
12 DE OCTUBRE,['6502']
9 DE JULIO,['6500']
ALFREDO DEMARCHI,['6533']
AMALIA,['6516']
BACACAY,['6516']
BARRIO JULIO DE VEDIA,['6500']
CAMBACERES,['6516']
CARLOS MARIA NAON,['6515']
COLONIA LAS YESCAS,['6500']
CORBETT,['6507']
DENNEHY,['6516']
DESVIO KILOMETRO 234,['6503']
DUDIGNAC,['6505']
EL JABALI,['6531']
EL TEJAR,['6515']
ESTACION PROVINCIAL,['6501']
FAUZON,['6500']
FRENCH,['6516']
GALO LLORENTE,['6513']
GERENTE CILLEY,['6507']
INGENIERO DE MADRID,['6651']
LA ADELA,['6533']
LA AURORA,"['6500', '7009', '8151']"
LA NIÑA,['6513']
LA YESCA,['6513']
LAGUNA DEL CURA,['6501']
LAS NEGRAS,['6507']
LAS ROSAS,['6533']
MOREA,['6507']
MULCAHY,['6501']
NORUMBEGA,['6501']
PATRICIOS,['6503']
QUIROGA,['6560']
RAMON J NEILD,['6533']
REGINALDO J NEILD,['6533']
SAN JUAN,"['2754', '6500', '7401']"
SANTOS UNZUE,['6507']
TROPEZON,['6501']
VILLA DIAMANTINA,['6500']
ADOLFO ALSINA,['6430']
ARANO,['6443']
ARTURO VATTEONE,['6433']
AVESTRUZ,['8183']
CAMPO DEL NORTE AMERICANO,['8185']
CAMPO LA ZULEMA,['8185']
CAMPO LOS AROMOS,['8185']
CAMPO SAN JUAN,['8185']
CAÑADA MARIANO,['8183']
CANONIGO GORRITI,['8185']
CARHUE,['6430']
CHAPI TALO,['6341']
COLONIA BARON HIRSCH,['6441']
COLONIA LA ESTRELLA,['8185']
COLONIA LAPIN,['8185']
COLONIA LEVEN,['8185']
COLONIA MURATURE,['6430']
COLONIA NAVIERA,['6341']
COLONIA PHILLIPSON N 1,['8185']
COLONIA SANTA MARIANA,['8185']
DELFIN HUERGO,['8185']
EL PARQUE,['6341']
EPUMER,['6443']
ESTACION LAGO EPECUEN,['6431']
ESTEBAN A GASCON,['8185']
FRANCISCO MURATURE,['6341']
JUAN V CILLEY,['6430']
LA FLORIDA,"['6720', '7116', '8185']"
LA PALA,['6341']
LAGO EPECUEN,['6431']
LEUBUCO,['6338']
LOS GAUCHOS,['6343']
MALABIA,['6443']
MONTE FIORE,['8185']
POCITO,['6430']
RIVERA,['6441']
SAN ANTONIO,"['7116', '8185']"
SAN MIGUEL ARCANGEL,['8185']
THAMES,['6343']
TRES LAGUNAS,['6443']
VILLA CASTELAR EST ERIZE,['6430']
VILLA MARGARITA,['8185']
VILLA MAZA,['6343']
VILLA SAURI,['6430']
YUTUYACO,['6443']
ADOLFO GONZALES CHAVES,['7513']
ALZAGA,['7021']
DE LA GARMA,['7515']
EL LUCERO,['7513']
JUAN E BARRA,['7517']
PEDRO LASALLE,['7515']
VASQUEZ,['7519']
ACHUPALLAS,['6627']
ALBERTI,['6634']
ANDERSON,['6621']
ANDRES VACCAREZZA,['6634']
BAUDRIX,['6643']
COLONIA PALANTELEN,['6643']
COLONIA ZAMBUNGO,['6628']
CORONEL MON,['6628']
CORONEL SEGUI,['6628']
EMITA,['6634']
GRISOLIA,['6627']
LARREA,['6634']
PALANTELEN,['6434']
PLA,['6691']
PRESIDENTE QUINTANA,['6621']
VILLA MARIA,['6628']
VILLA ORTIZ,['6628']
ADROGUE,['1846']
BURZACO,['1852']
CLAYPOLE,['1849']
GLEW,['1856']
JOSE MARMOL,['1845']
LONGCHAMPS,['1854']
MALVINAS ARGENTINAS,['1851']
MINISTRO RIVADAVIA,['1848']
RAFAEL CALZADA,['1847']
SAN FRANCISCO SOLANO,"['1843', '1881']"
ALMACEN LA COLINA,['2740']
ARRECIFES,['2740']
CAMPO CRISOL,['2754']
CAÑADA MARTA,['2740']
EL NACIONAL,['2740']
LA DELIA,['2740']
LA NELIDA,['2740']
PUENTE CAÑETE,['2740']
TODD,['2754']
VILLA SANGUINETTI,['2740']
VIÑA,['2755']
AVELLANEDA,['1870']
CRUCESITA,['1873']
DOCK SUD,['1871']
GERLI,"['1823', '1869']"
PIÑEYRO,"['1868', '7540']"
SARANDI,['1872']
VILLA DOMINICO,['1874']
WILDE,['1875']
AYACUCHO,['7150']
CANGALLO,['7153']
EL BOQUERON,"['7150', '7625']"
FAIR,['7153']
LA CONSTANCIA,['7153']
LA POSTA,"['7112', '7153']"
LANGUEYU,['7151']
LAS PAJAS,['7150']
LAS SULTANAS,['7151']
SAN IGNACIO,['7151']
SAN LAUREANO,['7150']
SOLANET,['7151']
UDAQUIOLA,['7151']
16 DE JULIO,['7313']
ANTONIO DE LOS HEROS,['7305']
ARIEL,['7301']
ARROYO LOS HUESOS,['7301']
AZUL,['7300']
BASE NAVAL AZOPARDO,['7301']
BERNARDO VERA Y PINTADO,['7313']
CACHARI,['7214']
CAMINERA AZUL,['7300']
CAMPODONICO,['7305']
CERRO AGUILA,['7403']
CHILLAR,['7311']
CUARTEL II,['7300']
ESTACION LAZZARINO,['7300']
FORTIN IRENE,['7316']
FRANCISCO J MEEKS,['7301']
KILOMETRO 433,['7313']
LA CHUMBEADA,"['7223', '7316']"
LA COLORADA,"['7119', '7300']"
LA MANTEQUERIA,['7300']
LA PROTEGIDA,"['6561', '7311']"
LA VERDE,"['6601', '7214', '7223']"
LAGUNA MEDINA,['7214']
